Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Eline		2018	May	May_18	Inlet	Bulk		2		NA													11.41	4.36	12.06	20	3																	
Eline		2018	May	May_18	Inlet	Bulk		3		-0.36	-0.00000036	-0.00432				-0.000378615	-3						11.41	4.36	12.06	20	3																	
Eline		2018	May	May_18	Inlet	Bulk		4		-0.46	-0.00000046	-0.00552				-0.000483786	-4						11.41	4.36	12.06	20	3																	
Eline	29.05.2018	2018	May	May_18	Inlet	LMW	Inlet LMW	1	15	-1.3	-0.0000013	-0.0156	-0.01377			-0.004137931	-11	-0.003653	0.000488		-13	100	3.77	4.56	16.13	18.9	1.8				0.137	0.095	0.027	0.014	0.002	3.633952255	3.62511061	10.02439	5.074074074	2.519893899	0.693431	0.477453581		2.519893899
Eline	29.05.2018	2018	May	May_18	Inlet	LMW		2	15	-1.11	-0.00000111	-0.01332				-0.003533156	-10						3.77	4.56	16.13	18.9	1.8																	
Eline	29.05.2018	2018	May	May_18	Inlet	LMW		3	15	-1.23	-0.00000123	-0.01476				-0.003915119	-11						3.77	4.56	16.13	18.9	1.8																	
Eline	29.05.2018	2018	May	May_18	Inlet	LMW		4	15	-0.95	-0.00000095	-0.0114				-0.003023873	-8						3.77	4.56	16.13	18.9	1.8																	
Eline	29.05.2018	2018	May	May_18	Inlet	HMW	Inlet HMW	1		-0.62	-0.00000062	-0.00744	-0.006	-0.0008928	-1.5	-0.000609836	-5	-0.000492	0.000116		-23	13	12.2	4.27	23.4	19.1	3.4				0.608	0.443333333	0.144	0.079	0.009	4.98087432	6.475409836	7.691983127	4.21990741	3.633879779	0.729567	0.278688525		3.633879781
Eline	29.05.2018	2018	May	May_18	Inlet	HMW		2		-0.57	-0.00000057	-0.00684		-0.0008208	-1.3	-0.000560656	-5						12.2	4.27	23.4	19.1																		
Eline	29.05.2018	2018	May	May_18	Inlet	HMW		3		-0.45	-0.00000045	-0.0054		-0.000648	-1.1	-0.000442623	-4						12.2	4.27	23.4	19.1																		
Eline	29.05.2018	2018	May	May_18	Inlet	HMW		4		-0.36	-0.00000036	-0.00432		-0.0005184	-0.8	-0.000354098	-3						12.2	4.27	23.4	19.1																		
Eline		2018	May	May_18	Outlet	Bulk	Outlet Bulk	1		-0.57	-0.00000057	-0.00684	-0.0126			-0.000945404	-5	-0.001742	0.000581		-33		7.24	4.61	12.06	20	2.4				0.329	0.232	0.068	0.041	0	4.544198895	5.616942956	8.090163868	4.838235294	3.20441989	0.705167	0.331491713		3.20441989
Eline		2018	May	May_18	Outlet	Bulk		2		-1.41	-0.00000141	-0.01692				-0.002338632	-12						7.24	4.61	12.06	20	2.4																	
Eline		2018	May	May_18	Outlet	Bulk		3		-1.13	-0.00000113	-0.01356				-0.001874223	-10						7.24	4.61	12.06	20	2.4																	
Eline		2018	May	May_18	Outlet	Bulk		4		-1.09	-0.00000109	-0.01308				-0.001807878	-10						7.24	4.61	12.06	20	2.4																	
Eline	29.05.2018	2018	May	May_18	Outlet	LMW	Outlet LMW	1		-0.49	-0.00000049	-0.00588	-0.00867			-0.001511568	-4	-0.002229	0.000627		-28	61	3.89	4.75	10.29	19.1	1.4				0.139	0.095	0.075	0.013	0.005	3.573264781	3.341902314	10.69230769	1.853333333	2.442159383	0.683453	0.359897172		2.442159383
Eline	29.05.2018	2018	May	May_18	Outlet	LMW		2		-0.62	-0.00000062	-0.00744				-0.001912596	-5						3.89	4.75	10.29	19.1	1.4																	
Eline	29.05.2018	2018	May	May_18	Outlet	LMW		3		-0.85	-0.00000085	-0.0102				-0.002622108	-7						3.89	4.75	10.29	19.1	1.4																	
